fire Name,fire Overview,url,Incident Type,Incident Commander,Coordinates,Fuels Involved,Projected Incident Activity,Incident Cooperator,Location,Incident Description,Size,Total Personnel,Remarks,Cause,Planned Actions,Weather Concerns,Date of Origin,Significant Events,Percent of Perimeter Contained,Estimated Containment Date
S1 Fire,"

The S1 Fire is burning on public lands managed by the BLM Applegate Field Office in Washoe County, Nevada.  It is one of several lightning-caused fires started on June 23.

",https://inciweb.nwcg.gov/incident/6800/,Wildfire,BLM Applegate Field Office,"41.166 latitude, -119.819 longitude","Shrubs, rangeland grasses",N/A,N/A,"15 miles southeast of Eagleville, CA",Lightning-caused wildfire,750 Acres,N/A,N/A,Lightning,Patrol,N/A,"Tuesday June 23rd, 2020 approx.   09:45 PM",N/A,100%,N/A
Brown Fire,"

Image options: [ Full Size ]The approximately 8,268-acre Brown Fire, south and east of Lund, Nev. is 99-percent contained with full containment expected this evening (Tuesday, June 30). The fire was first reported shortly after 3 p.m., Wednesday. The cause is unknown. 

",https://inciweb.nwcg.gov/incident/6801/,Wildfire,"Jose Contreras, Type 4 IC","38.833 latitude, -114.988 longitude","Grass, brush and timber",Monitor and patrol all fire established fire lines,N/A,"Up to and south of the town of Lund, Nevada along Highway 318.","Lund, Nevada","8,268 Acres",N/A,Monitoring status,Unknown,Monitor and patrol all fire established fire lines and put out any observable interior smokes.,None,"Wednesday June 24th, 2020 approx.   03:00 PM",Minimal smoldering,99%,N/A
Monarch Fire,"

June 28, 2020The Monarch Fire is 97 percent contained and the fire is 2,324 acres. Despite strong winds in the area, minimal fire activity was reported last night and mop up efforts are underway and suppression repair efforts have also begun. The Type 3 Incident Management Team (IMT) will begin demobilization activities and return the incident to the local unit tomorrow, June 29, 2020. Critical fire weather will continue through late afternoon today and the Red Flag Warning expires at 11 p.m. No closures are in place and no injuries have been reported. The fire was reported at 12:41 p.m. on June 24, 2020 and is believed to have been caused by lightning. Yesterday, the IMT began sharing resources with agencies’ initial attack on several new fire starts in the region and will continue to release resources as they become available so they may respond to other incidents throughout the region.
Responding agencies included Bureau of Land Management, Central Lyon County Fire Protection District, East Fork Fire Protection District, Lyon County Fire Protection District, Nevada Division of Forestry, North Lake Tahoe Fire Protection District, North Lyon County Fire Protection District, Reno Fire Department, Story County Fire Protection District, Tahoe Douglas Fire Protection District, Truckee Meadows Fire Protection District and the U.S. Forest Service. 

",https://inciweb.nwcg.gov/incident/6802/,Wildfire,Scott Stephenson,"38.878 latitude, -119.563 longitude","Pinion, Juniper and grass","24 hours: Mopping up, to include total suppression.
48 hours: 100% suppression","U.S. Forest Service Humboldt Toiyabe NF, U.S. Forest Service, Truckee Meadows Fire Protection District, Tahoe Douglas Fire Protection District, Story County Fire Protection District, Reno Fire Department, North Lyon County Fire Protection District, North Lake Tahoe Fire Protection District, Nevada Division of Forestry, East Fork Fire Protection District, Central Lyon Fire Protection District, Bureau of Land Management - Carson City District",3 miles south of Sierra Spirit Ranch,N/A,"2,324 Acres",98,"June 28, 2020 - No closures are in place and no injuries have been reported.",Unknown-suspected Lightening,"Continue direct suppression, complete line.  Mopping up, to include total suppression.",Possible thunderstorms and high winds,"Wednesday June 24th, 2020 approx.   12:41 PM",Minimal fire activity.,97%,N/A
2020 Tonto NF BAER Information,"

Image options: [ Full Size ] THREE PHASES OF WILDFIRE RECOVERY 
There are three phases of recovery following wildfires on federal lands:  -       Fire Suppression Repair  -       Emergency Stabilization-Burned Area Emergency Response (BAER)  -       Long-Term Recovery and Restoration  o   Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.  o   Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate actions to implement emergency stabilization measures before the first post-fire damaging events. Fires result in loss of vegetation, exposure of soil to erosion, and increased water runoff that may lead to flooding, increased sediment, debris flows, and damage to critical natural and cultural resources. BAER actions such as: mulching, seeding, installation of erosion and water run-off control structures, temporary barriers to protect recovering areas, and installation of warning signs may be implemented. BAER work may also replace safety related facilities; remove safety hazards; prevent permanent loss of habitat for threatened and endangered species; prevent the spread of noxious weeds, and protect critical cultural resources.  o   Long-Term Recovery and Restoration utilizes non-emergency actions to improve fire-damaged lands that are unlikely to recover naturally and to repair or replace facilities damaged by the fire that are not critical to life and safety. This phase may include restoring burned habitat, reforestation, other planting or seeding, monitoring fire effects, replacing burned fences, interpreting cultural sites, treating noxious weed infestations, and installing interpretive signs. 

",https://inciweb.nwcg.gov/incident/6803/,Burned Area Emergency Response,N/A,"33.591 latitude, -111.418 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hackberry,"

Image options: [ Full Size ]Firefighters are currently working to suppress the Hackberry Fire in Potter County, which started June 25, 2020 at 3:35pm.Texas A&M Forest Service is working in unified command with local Potter County and Boys Ranch FD resources to suppress the fire. 

",https://inciweb.nwcg.gov/incident/6805/,Wildfire,Cody Mayo - Texas A&M Forest Service,"35.463 latitude, -102.114 longitude",Grass and Brush,N/A,N/A,Off HWY 1061 South East of Boys Ranch,N/A,144 Acres,N/A,N/A,Unknown,N/A,Strong gusty winds,"Thursday June 25th, 2020 approx.   03:30 AM",N/A,100%,N/A
Bend Fire,"

Image options: [ Full Size ]This is the last update on the Bend Fire as containment is now estimated at 100%. The fire burned 263 acres of private land, no public land impacted, however the fire is within the BLM Direct Protection Area. Cause of fire is under investigation.All BLM-managed public lands within the Bakersfield Field Office jurisdiction are currently under seasonal fire restrictions, due to wildfire danger: www.blm.gov/press-release/blm-bakersfield-field-office-issues-seasonal-fire-restrictions. An interactive map showing what BLM California public lands are under fire restrictions is available at: go.usa.gov/xmUEG.   Additional information available on the Bend Fire available at CalFire: https://www.fire.ca.gov/incidents/2020/6/25/bend-fire/. 

",https://inciweb.nwcg.gov/incident/6806/,Wildfire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aurora Fire,"

Image options: [ Full Size ]This will be the last update for the Aurora Fire, as crews have been able to keep it within the containment line around the perimeter and the fire is now in patrol status. Roughly 280 acres have burned of dense sagebrush, bitterbrush and short grass, south of the California/Nevada State Line. The fire was in a remote location approximately 15 miles east of Bridgeport in the Dry Lake Plateau, northeast of the Bodie State Historic Park in Mono County. Containment is estimated at 100%. Access is limited with extremely rocky and narrow roads.  
Management of the fire has transitioned to a Type 5 Incident Command Team. 
Weather: High winds and hot temperatures continue in the area of the fire. See Reno weather: www.weather.gov/rev/ and NWS Zones: www.wrh.noaa.gov/fire2/?wfo=sto. 
The Aurora Fire started at 10:12 a.m. on Friday, June 26, 2020. Cause is lightning/natural. The fire is within the Bureau of Land Management Direct Protection Area. 
Hilltop cameras near the fire:
TV Hill: http://www.alertwildfire.org/blmnv/index.html?camera=Axis-TVHill.
Queen Bee: http://www.alertwildfire.org/blmnv/index.html?camera=Axis-QueenBee.  
Reminder: Public lands managed by the Bishop Field Office are currently under seasonal fire restrictions: www.blm.gov/press-release/blm-bishop-field-office-issues-seasonal-fire-restrictions-0.  An interactive map reflecting fire restrictions throughout BLM California is available at go.usa.gov/xmUEG. 

",https://inciweb.nwcg.gov/incident/6807/,Wildfire,Bureau of Land Management,"38.268 latitude, -118.965 longitude","Sagebrush and bitterbrush (2 feet) were the primary fuels, mixed with short grass (1 foot)",N/A,"Inyo National Forest, Humboldt-Toiyabe National Forest, Cal Fire",Approximately 15 miles east of Bridgeport in Mono County.,"Fire burned in a remote location south of the CA/NV State Line with limited access, extremely rocky and narrow roads.",280 Acres,21,"More accurate information and improved mapping led to a reduction in the size of acreage of the fire, previously reported.",Lightning/natural,The fire is now in patrol status. Crews have kept the fire within the containment line around the perimeter. No increase in acreage expected.,High winds and hot temperatures continue in the area of the fire.,"Friday June 26th, 2020 approx.   10:15 AM",Management of the fire has transitioned to a Type 5 IC.,100%,N/A
Twin Fire,"

Image options: [ Full Size ]The 25,110-acre Twin Fire, about 30 miles west of Caliente, Nev., is 100-percent contained tonight (Tuesday, July 14). The fire was first reported at about 9:20 p.m., Thursday, June 25. The cause is unknown. This will be the final Twin Fire update. 

",https://inciweb.nwcg.gov/incident/6808/,Wildfire,Shinkle Type 4 IC,"37.516 latitude, -115.011 longitude","Brush (2 feet)
Tall Grass (2.5 feet)
Chaparral (6 feet)","Isolated torching on the western edge of the perimeter. The west side of the incident will be
monitored for the next several days to ensure that growth stays within the wilderness boundaries and inaccessible terrain.",N/A,"10 miles NE of Alamo, NV","West of Caliente, Nevada/
Pahroc Summit Area","25,110 Acres",3,Split in acres non-wilderness 15714 acres and in wilderness 10067 acres. We will be monitoring the incident activity within the wilderness until fire activity subsides or is eliminated. IR Flights along with aerial and ground observation should be able to address these conditions.,Unknown,Continue to monitor and patrol fire activity within the wilderness.,Red flags for high winds and low RH's. Extreme heat.,"Thursday June 25th, 2020 approx.   09:15 PM","Minimal smoldering, creeping, isolated torching.",100%,N/A
Miller Fire,N/A,https://inciweb.nwcg.gov/incident/6809/,Wildfire,Oakleaf Type 3 IC,"38.335 latitude, -114.228 longitude","Chaparral (6 feet)
Brush (2 feet)
Short Grass (1 foot)",Low potential for movement based on all sections being secured and mop up operations are being achieved.,N/A,"29 miles northeast of Pioche, Nev.",35 miles east of Pony Springs,"4,519 Acres",148,"Transition to a ICT4 at the beginning of the shift on 7/4/20. Acres: 106 private and 4,413 BLM.",Lightning,Suppression repair damage and rehabilitate of hand and dozer line will continue with excavators and remaining hand crews. Engines will continue to patrol the line looking for any heat near the line.,"Sunny, south winds 10-20 with gusts to 25 mph.","Friday June 26th, 2020 approx.   02:45 PM","Minimal creeping, torching, smoldering",90%,N/A
Poeville Fire,"

7/02 Containment is at 95% and fire suppression repair continues.  The Nevada Interagency Team 3 transitioned the fire to a Type 4 Team, Robert Willis, IC and Kyle Mitchell (Trainee).
7/01 Containment is at 95% and fire suppression repair is in full swing.  The acreage burned has not increased in several days. 
6/30 All evacuations have been lifted.  Repair has begun on dozer and hand lines.
6/29 Fire perimeter mapped at 3,010 acres, 70% contained. 
06/28 12:00: All evacuations have been lifted except Heindel Road and Myers Ave.  For additional evacuation information contact Washoe County Sheriffs office or follow on Twitter @WashoeSheriff.
6/28 0800 update: The fire is now an estimated 3500 acres and 10% contained. Evacuations remain in place today as a red flag warning is in effect with high winds forecasted throughout the day. Uhlig's Nevada Interagency Team 3 will take over command of the fire tomorrow morning. The evacuation center remains open at 9th street and Wells Avenue and the Reno Livestock Events Center is taking large animals. 
6/27: The Poeville fire is burning on the east side of Peavine Mountain in Reno, Nevada. It is currently 1500 acres, burning in grass and brush. High winds are creating containment issues for firefighters. Structures are threatened and evacuations are in effect for the following areas: All Horizon Hills residences
All businesses north of Lemmon Drive and southwest of 395
Heindel Road, Myers Ave and Lunsford Drive
All of Raleigh Heights
Mobile home park west of Golden Valley
Beacon Drive
Crest Hill Road
Ruby Mountain Road
The Humboldt-Toiyabe National Forest is in unified command with Truckee Meadows Fire Protection District and there is 250 personnel on scene engaging in air and ground suppression operations. A type 3 incident management has been ordered for tomorrow.   

",https://inciweb.nwcg.gov/incident/6810/,Wildfire,Robert Willis and Kyle Mitchell (trainee),"39.576 latitude, -119.913 longitude",Grass and sage,N/A,N/A,East side of Peavine Mountain,N/A,"2,975 Acres",132,Acreage change because of better mapping.,Under Investigation,N/A,Near normal temperatures today. Wind gusts up to 30 mph in the afternoon.,"Friday June 26th, 2020 approx.   09:56 PM",N/A,100%,N/A
Mahogany Fire,"

Image options: [ Full Size ]Remaining crews assigned to the Mahogany Fire have completed rehabilitation work on the fire line, staging areas, and crew camp areas after containment on the fire reached 100% earlier this week. 
A small contingent of firefighters will remain in the area around the fire perimeter through early next week to continue to monitor the burn area and assist with initial attack if needed. 
Local authorities ask the public continue to be aware of traffic in the area and to obey all posted signs on the roadways. 
  

",https://inciweb.nwcg.gov/incident/6811/,Wildfire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wood Springs 2 Fire,"

Image options: [ Full Size ]The Wood Springs 2 Fire started on June 27, 2020.  It is now approximately 12,861 acres and 83% contained. Crews have been able to complete fire line from the southwest corner up the west side of the fire to N 26, and on the southeast side up to Sage House Wash, which in west of Oak Creek Mountain. Crews have also built approximately 2-3 miles of fire line on the north end between Monument Canyon north to Route 7 and along Route 7. Crews will be securing and monitoring the remaining uncontained fire line. They also began to restore land disturbed by containment efforts, and monitor areas inside the fire that are still burning. 
The fire occurs in the Nazlini and Kinlichee Chapters of the Navajo Nation.  Portions of both of these chapters in the Fluted Rock area remain on high alert for evacuation due to the fire. Sawmill is no longer on high alert.
Smoke: Less smoke is expected today because fuel inside the perimeter of the fire has been consumed and showers reduced smoldering. As the weather gets hotter over the next few days remaining fuels may produce more smoke.  
Hot and dry weather will continue to support active fire spread through unburned interior pockets of the fire. 

",https://inciweb.nwcg.gov/incident/6813/,Wildfire,Mark Bernal,"35.84 latitude, -109.378 longitude",Ponderosa pine. Sage along drainage bottoms and openings. Some pinyon-juniper in the lowest elevations of the fire.,"Fire activity may increase because of lower humidity, increasing winds, and more sunshine.","Navajo Police Department, Navajo Nation Government, Navajo Department of Natural Resources, Coconino County, Arizona Public Service, Apache County,  Navajo Nation Chapters, FEMA","12.5 miles NE of Ganado, AZ",N/A,"12,861 Acres",309,N/A,Lightning,"Crews are holding, securing, and mopping up primary containment lines in all divisions. Suppression repair will continue in all divisions. Aircraft are being used for reconnaissance when needed.",Tomorrow there will be an increase in relative humidity values and a reduction in wind speeds. The Haines Index will be 5. This weather will continue to moderate any fire behavior in residual unburned fuels. A Haines Index this weekend and an increased chance of thunderstorms will potentially increased fire behavior.,"Saturday June 27th, 2020 approx.   02:00 PM",Any unburned fuel continued to be consumed by the fire. Heat sources along containment lines continued to smolder and creep.,96%,"Friday July 17th, 2020 approx.   08:00 PM"
Osage Fire,"

Image options: [ Full Size ]Texas A&M Forest Service is responding to the Osage fire with Local Randall County Fire Departments. The Osage Fire started on June 30th at approximately 2:45 Pm. Fire is currently 90% contained at this time. 

",https://inciweb.nwcg.gov/incident/6814/,Wildfire,Danny Al-Batal Texas A&M Forest Service,"35.121 latitude, -101.822 longitude",Grass,N/A,N/A,1111 E Loop Road in Amarillo,N/A,5 Acres,N/A,N/A,Unknown,N/A,Strong Gusty Winds,"Tuesday June 30th, 2020 approx.   02:45 PM",N/A,100%,N/A
Flat Fire,"

The Flat Fire has been mapped at 62 acres and is now 95% contained.  The cause of the fire is still under investigation.
Current resources fighting the Flat Fire include two engines. Visitors to the area may occasionally still see some smoke produced from fuels burning in the interior portions of the fire.
Burnt Ranch Campground has been re-opened to the public.  One-way traffic control that was in place along Hwy 299 due to the fire has been lifted. However, Cal Trans helicopter operations for installation of mesh drapery along the highway remain in effect today July 8. Please plan for up to 75-minute delays until 5 p.m. in the area. Please check road conditions before you travel at https://roads.dot.ca.gov/.

",https://inciweb.nwcg.gov/incident/6815/,Wildfire,N/A,"40.841 latitude, -122.885 longitude",Timber,N/A,N/A,N/A,N/A,62 Acres,N/A,N/A,N/A,N/A,N/A,"Tuesday June 30th, 2020 approx.   03:00 PM",N/A,95%,N/A
Cheese Fire,"

Image options: [ Full Size ]Texas A&M Forest Service Firefighters are assisting local county Fire Departments on the Cheese Fire in Randall County. The Cheese Fire started June 30th at approximately 5:40 pm. Tanglewood, Randall, Potter and Palisades Fire Departments are assisting at this time. 

",https://inciweb.nwcg.gov/incident/6816/,Wildfire,Troy Ducheneaux of Randall County FD,"35.124 latitude, -101.762 longitude",Grass and Wheat,N/A,N/A,South side of the loop road in Amarillo,N/A,56 Acres,N/A,N/A,Semi Truck Caught On Fire On The Right Of Way,N/A,Strong and gusty winds,"Tuesday June 30th, 2020 approx.   05:45 PM",N/A,100%,N/A
Canal Fire,"

Image options: [ Full Size ]The lightning-caused Canal Fire was reported around 4 p.m. on Friday June 26, 2020. The fire is located 5 miles north of Oak City, Utah, in Millard County. The fire perimeter includes state, BLM and Forest Service administered lands. Great Basin Incident Management Team 3 took command of the fire on July 1, 2020.Team 3 is aware of the history of Oak Creek Canyon and is sensitive to the community's concerns. Firefighters are continuing their efforts to halt the fire's progress toward Oak Creek Canyon. They will exhaust all options for containment in this area before any firing operations take place in the canyon.A Temporary Flight Restriction (TFR) has been implemented over the fire area, which means recreational drones and private aircraft cannot fly over the fire. The TFR can be found at : https://bit.ly/Canal_Fire_TFR. Please remember, if you fly, we can't.  

",https://inciweb.nwcg.gov/incident/6817/,Wildfire,Ron Bollier,"39.425 latitude, -112.347 longitude","Short grass (1 foot), brush (2 feet), timber (litter and understory), including rye grass, cheat grass and pinyon pine/juniper.","In the next 12 hours minimal fire behavior with some smoldering in heavier fuels holding heat/fire and in remaining unburned islands. 
In the next 24 hours minimal fire behavior with some smoldering in heavier fuels holding heat/fire and in remaining unburned islands.",N/A,"5 miles north of Oak City, Utah",Wildfire,"78,065 Acres",168,"On the Canal Fire 25,500 acres have burned on the Fishlake National Forest; 28,405 acres on Utah private lands; 20,855 acres on the Richfield Field Office of the Bureau of Land Management; and 3305 acres on Central Area of Utah State Department of Natural Resources.",Lightning,Remaining resources on the fire will support the incoming Type 4 organization and BAER Organization.  Resources will monitor completed line and will continue suppression repair. Firefighters will maintain IA readiness.,"A ridge building over the region will provide dry conditions (min RH values in the single digits) with a warming trend to well above normal Saturday and Sunday. Winds are expected to be mainly terrain driven through Sunday with a southwesterly influence in the afternoon. High clouds will spread into the region from Saturday through Monday, but thunderstorms or rain not expected as the air aloft remains quite stable. Temperatures will gradually trend downward Monday through Wednesday but still remain above normal. There is a chance by midweek that winds approach Red Flag Warning levels.","Friday June 26th, 2020 approx.   04:00 PM",Minimal fire behavior with smoldering in heavy fuels and unburned islands.,98%,"Saturday July 11th, 2020 approx.   12:00 AM"
Cub Fire,"

Image options: [ Full Size ]The Cub Fire remains at 25,950 acres and is 93% contained. The fire is receiving significant precipitation and there is little to no chance of spread.

",https://inciweb.nwcg.gov/incident/6819/,Wildfire,"R. Woods, ICT4","33.315 latitude, -108.562 longitude","Timber (litter and understory), tall grass (2.5 feet), brush (2 feet)",Spread potential being limited due to cloud cover and receiving minimal precipitation.,"New Mexico State Forestry, New Mexico Department of Transportaton, New Mexico Department of Game and Fish, Fish and Wildlife Service",3 miles northeast of Mogollon Baldy Lookout,N/A,"25,950 Acres",1,N/A,Lightning,N/A,N/A,"Sunday June 28th, 2020 approx.   11:20 AM","Minimal, creeping and smoldering",100%,N/A
Channel Fire,"


Firefighters are currently working to suppress the Channel Fire in Tom Green County, which started July 1, 2020.Texas A&M Forest Service is working in unified command with local resources to suppress the fire. 

",https://inciweb.nwcg.gov/incident/6820/,Wildfire,"James Russell, Texas A&M Forest Service","31.333 latitude, -100.528 longitude",N/A,N/A,N/A,Tom Green County,N/A,11 Acres,N/A,N/A,N/A,N/A,N/A,"Wednesday July 01st, 2020 approx.   03:30 PM",N/A,100%,N/A
Split Fire,"

Image options: [ Full Size ]The lightning caused Split Fire at Dinosaur National Monument was discovered on Friday, June 26. Upon detection, the fire was 1/4 acre and burning in very steep, mountainous terrain. The fire is currently 37 acres and is burning at 7,000 feet on the north side of Split Mountain near Rainbow Park. All park facilities currently remain open.  

",https://inciweb.nwcg.gov/incident/6822/,Wildfire,Charlie Reynar,"40.482 latitude, -109.202 longitude",Timber with litter understory and grass.,Possible down-slope spread to the north.,N/A,Split Mountain,Burning in rough steep terrain,18 Acres,5,N/A,Lightning,Monitor and be readily available to suppress.,Heavier winds and thunderstorms in the forecast,"Friday June 26th, 2020 approx.   10:45 AM",N/A,100%,N/A
Mount R Fire,"

Image options: [ Full Size ]Final Update 7/6/2020 
Firefighters responded to a wildfire reported shortly before 3:00 p.m. on Friday, July 3, 2020, on City Creek Road (1N09) off Highway 330. The fire, which initially burned uphill toward the community of Running Springs, is currently 100% contained with no rate of spread. The fire's size is reported at 62 acres.Road Closures 
There are no closures at this time. Motorists should be cautious of fire traffic in the area and are reminded there is a construction-related signal along this section of highway that will also cause delays, especially during periods of heavy traffic.City Creek Road (1N09) is closed between Highway 330 and Alder Creek Road (1N16).In the Keller Peak area, the following are closed: Keller Peak Road (1N96), Trail of the Phoenix, Exploration Trail and Keller Peak Yellow Post Sites.EvacuationsAll mandatory and voluntary evacuations have been lifted.   


",https://inciweb.nwcg.gov/incident/6823/,Wildfire,Unified Command,"34.178 latitude, -117.113 longitude",Grasses and chaparral,N/A,"San Bernardino County Fire Department, Running Springs Fire Department, CAL-FIRE Inyo-Mono-San Bernardino Unit",N/A,Wildland Fire,62 Acres,N/A,N/A,Under Investigation,N/A,N/A,"Friday July 03rd, 2020 approx.   02:56 PM",N/A,100%,N/A
7D2 Fire,"

Image options: [ Full Size ]Firefighters are currently working to suppress the 7D2 Fire in Sterling County, which started on July 4, 2020. Texas A&M Forest Service is working in unified command with local resources to contain the fire. 

",https://inciweb.nwcg.gov/incident/6824/,Wildfire,"Alan Fox, Texas A&M Forest Service","31.591 latitude, -101.168 longitude",N/A,N/A,N/A,"Sterling County, Texas",N/A,"5,430 Acres",N/A,N/A,Lightning,N/A,N/A,"Saturday July 04th, 2020 approx.   06:00 PM",N/A,100%,N/A
Polles Fire,"

Image options: [ Full Size ]POLLES FIRE UPDATE - July 15, 2020, 6:00 p.m. Acres: 628 acres                                                                                                            Percent Containment: 92%  Start Date: Friday, July 3, 2020                                                                                                             Cause: Lightning  Origin Location: 11 miles W of Payson, AZ                                                                                                              Fuels: Pinyon juniper, high desert grassResources: approx. 177 personnel assigned: including 2 hotshot crews, 6 helicopters, 2 engines
Minimal fire activity on the Polles Fire; Crews continue to patrol   Payson, Ariz. – Unless there is new or significant fire activity, this will be the final update on the Polles Fire.  Hotshot crews worked Tuesday in the rugged and remote terrain to cut additional fireline, track and attack heat sources, and secure the northwest edge of the fire.   The Polles Fire is now at 92% containment, and Tuesday night’s infrared flight showed minimal heat sources. Crews will remain on scene to patrol and continue securing any hotspots. Weather conditions remain hot and breezy, with a slight chance of precipitation this weekend.  The Southwest Area Type 1 Incident Management Team 2 will transfer command of the fire to the Tonto National Forest on Thursday July 16, 2020 and 6:00 p.m.   There are no threats from the Polles Fire to the communities of Pine-Strawberry or Payson. We do encourage that residents become familiar with Arizona’s Ready-Set-Go program and sign up for their county emergency notification systems and remain alert, ready and make essential preparations. Visit https://ein.az.gov/ready-set-go for more information.   The Tonto National Forest has a Closure in effect across the forest to prevent new human caused fires.  Details are available at https://www.fs.usda.gov/alerts/tonto/alerts-notices. Wildfires are a No Drone Zone. If you fly, we can’t. Every time a drone is spotted near the fire all aircraft are grounded until we can be sure the drone is clear of this area. Drove incursions during a wildfire can result in significant fines and jail time. For more info, visit: http://knowbeforeyoufly.org.  Polles Fire Public Information Fie Information: (480) 339-9585 Email: eric.solomon@usda.gov Inciweb:  inciweb.nwcg.gov/incident/6825/Tonto NF Facebook: FB.me/TontoNationalForest/Tonto NF Twitter:  twitter.com/TontoForestTonto NF Website:  www.fs.usda.gov/tonto

",https://inciweb.nwcg.gov/incident/6825/,Wildfire,SW Area Type 1 Team #2: IC J. Pierson,"34.266 latitude, -111.54 longitude","Short Grass (1 foot)
Dormant Brush,
Hardwood Slash 
Narrative: Fire has been limited to sparse short grass and pinyon-juniper stands.","Next 12 hours: 
The remaining heat sources will continue to burn out over time in the absence of
strong winds. No fire movement is expected.
24 hours: 
Smoldering, remaining heat sources will continue to burn out over time in the absence of
strong winds. No fire movement is expected.
48 hours:
Remaining heat sources within the fire perimeter will likely have completed burning out.
Moisture is forecast to began moving back into the area, this may produce outflow winds and
lightning.
72 hours: 
Few detectable heat sources remaining. No fire growth is likely. Moisture is forecast over the fire area.
Anticipated after 72 hours:Few detectable heat sources remaining. No fire growth is likely.",N/A,"Mazatzal Wilderness - 11 miles west of Payson, AZ and 6 miles south of Pine-Strawberry, AZ",N/A,628 Acres,177,"The Tonto National Forest, Payson Ranger District, will assume command under Type 4 IC Greg Sawyer at 1800 on 07/16/2020.",Lightning,"Continue targeted mop up in locations with heat remaining.
A contingent of resources is available for new fire starts, if any.","Mostly sunny skies persisted over the fire allowing temperatures to reach the 90s before noon once again. The relative humidity remained in the 20s most of the day before dropping into the teens in the late afternoon. 
The chance of thunderstorms returns to the higher terrain on Thursday and Friday which creates a risk of outflow winds over the fire. Saturday and Sunday will have enough moisture in the air that measurable rainfall, while minimal, will be possible over the fire.","Friday July 03rd, 2020 approx.   03:00 PM","Minimal
Creeping
Smoldering
Narrative:
 
The fire has been lined and holding for the last several days. 
There is no heat showing but there may be isolated stump holes and root systems holding heat that will show up in the afternoon as the day heats up. 
The fire is expected to hold within the current containment lines.",92%,"Thursday July 16th, 2020 approx.   06:00 PM"
Sundial South Fire,"

Late in the day on July 4th, four wildfires were reported/detected on the west zone of the Superior National Forest, three within the Boundary Waters Canoe Area Wilderness (BWCAW) in St. Louis County and one outside of the BWCAW in Lake County. Several thunderstorm cells developed and redeveloped with lightning activity while passing through northeastern Minnesota. The Sundial Fire is approximately 8 acres in size and burning in a remote area of the BWCAW south of Iron Lake in the Sundial Primitive Management Area (PMA) on the LaCroix Ranger District.  As of 7/27, the fire has some smoke, but has not grown and due to it's inaccessible nature, is being watched for now. 

",https://inciweb.nwcg.gov/incident/6826/,Wildfire,Superior National Forest,"48.158 latitude, -91.873 longitude",N/A,N/A,N/A,inaccessible in BWCA,N/A,8 Acres,N/A,N/A,N/A,N/A,N/A,"Saturday July 04th, 2020 approx.   12:00 AM",no increase in size,N/A,N/A
212/213/Independence Fires,"

Late in the day on July 4th, four wildfires were reported/detected on the west zone of the Superior National Forest, three within the Boundary Waters Canoe Area Wilderness (BWCAW) in St. Louis County and one outside of the BWCAW in Lake County. Several thunderstorm cells developed and redeveloped with lightning activity while passing through northeastern Minnesota. The 212 and 213 Fires are each .10 of an acre and located north/northeast of Trout Lake and north of Lake Vermilion on the La Croix Ranger District. The Independence Fire is 1 acre in size and located near Birch Lake south of Ely on the Kawishiwi Ranger District.

",https://inciweb.nwcg.gov/incident/6827/,Wildfire,Superior National Forest,"47.986 latitude, -92.343 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Saturday July 04th, 2020 approx.   12:00 AM",N/A,N/A,N/A
Soledad Fire,"

Location of Origin: Agua Dulce, unincorporated Los Angeles County north of Santa Clarita, CAStart date: July, 5 2020, Size: Approximately 1,498 acresPercent Contained: 87‰Cause: Under InvestigationResources Assigned: 132 personnelFire Information number: 626-759-6876  Summary Crews worked diligently throughout the day to increase containment lines and reduce hot spots while utilizing existing hose lines and hand tools. The fire area will be monitored throughout the evening by patrols. Operations will resume at 8 A.M.tomorrow focusing on reinforcing containment lines and working to achieve full containment of the burn area. WEATHER
High temps continue in the fire area. Light and variable winds will have minimal impact across the area. AIR QUALITY For Information regarding air quality, please visit AQMD for daily smoke advisories. SAFETY
The Angeles National Forest is currently under ""Very High"" Fire Restrictions. Campfires are not allowed outside developed recreation sites. The use of campfire stoves requires a CA Campfire Permit

",https://inciweb.nwcg.gov/incident/6828/,Wildfire,"T. Ewald (LAC), D. Richardson (LAC)","34.438 latitude, -118.366 longitude",Grass and Brush,N/A,N/A,Canyon Country,N/A,"1,525 Acres",29,N/A,Under Investigation,Fire in patrol status,High temps continue in the fire area.  Light and variable winds will have a minimal impact across the area.,"Sunday July 05th, 2020 approx.   03:31 PM",Minimal,94%,N/A
